VenueId,Name,City
271,Rock Creek Park - Grandstand,"Washington, D.C."
272,Rock Creek Park - Court 5,"Washington, D.C."
273,Cabo Sports Complex - Grandstand Caliente,"Los Cabos, Baja California Sur"
274,Cabo Sports Complex - Stadium,"Los Cabos, Baja California Sur"
275,San Jose State University - Stadium,"San José, CA"
276,Baza Sportiva Ciric - Court 5,Iaşi
277,Baza Sportiva Ciric - Centre Court,Iaşi
278,San Jose State University - Court 1,"San José, CA"
279,Baza Sportiva Ciric - Court 6,Iaşi
280,Cabo Sports Complex - Court 2,"Los Cabos, Baja California Sur"
281,Cabo Sports Complex - Court 1,"Los Cabos, Baja California Sur"
282,Baza Sportiva Ciric - Court 1,Iaşi
283,Stade IGA - Rogers Court,"Montréal, QC"
284,Stade IGA - Court Central,"Montréal, QC"
285,Stade IGA - Court 9,"Montréal, QC"
286,Sobeys Stadium - Centre Court,"Toronto, ON"
287,Sobeys Stadium - Motorola razr Grandstand Court,"Toronto, ON"
288,Sobeys Stadium - Court 1,"Toronto, ON"
289,The Thoreau Club - Centre Court,"Concord, MA"
290,The Thoreau Club - Court 6,"Concord, MA"
291,The Thoreau Club - Court 2,"Concord, MA"
292,Sobeys Stadium - Court 4,"Toronto, ON"
293,Stade IGA - Court 5,"Montréal, QC"
294,Sobeys Stadium - Court 3,"Toronto, ON"
295,Lindner Family Tennis Center - P&G Stadium Court,"Cincinnati, OH"
296,Hollyburn Country Club - Centre Court,"West Vancouver, BC"
297,Hollyburn Country Club - Polygon Court,"West Vancouver, BC"
298,Lindner Family Tennis Center - Grandstand Court,"Cincinnati, OH"
299,Lindner Family Tennis Center - Court 3,"Cincinnati, OH"
300,Lindner Family Tennis Center - Court 10,"Cincinnati, OH"
301,Lindner Family Tennis Center - Court 4,"Cincinnati, OH"
302,Hollyburn Country Club - Court 2,"West Vancouver, BC"
303,Hollyburn Country Club - Court 1,"West Virginia, AR"
304,Lindner Family Tennis Center - Court 7,"Cincinnati, OH"
305,Lindner Family Tennis Center - Court 11,"Cincinnati, OH"
306,Lindner Family Tennis Center - Court 8,"Cincinnati, OH"
307,Wake Forest Tennis Complex - Stadium,"Winston-Salem, NC"
308,Wake Forest Tennis Complex - Court 2,"Winston-Salem, NC"
309,Wake Forest Tennis Complex - Court 3,"Winston-Salem, NC"
310,Les Loisirs De Granby - Centre Court,"Granby, QC"
311,Jacobs Pavilion - Court 2,"Cleveland, OH"
312,Wake Forest Tennis Complex - Court 4,"Winston-Salem, NC"
313,Les Loisirs De Granby - Court 8,"Granby, QC"
314,Les Loisirs De Granby - Court 4,"Granby, QC"
315,Jacobs Pavilion - Motorola Edge Stadium Court,"Cleveland, OH"
316,Jacobs Pavilion - Court 1,"Cleveland, OH"
317,Flushing Meadows - Louis Armstrong Stadium,New York
318,Flushing Meadows - Arthur Ashe Stadium,New York
319,Flushing Meadows - Court 17,New York
320,Flushing Meadows - Court 14,New York
321,Flushing Meadows - Court 7,New York
322,Flushing Meadows - Court 5,New York
323,Flushing Meadows - Court 10,New York
324,Flushing Meadows - Court 13,New York
325,Flushing Meadows - Court 4,New York
326,Flushing Meadows - Court 11,New York
327,Flushing Meadows - Court 12,New York
328,Flushing Meadows - Court 15,New York
329,Flushing Meadows - Court 6,New York
330,Flushing Meadows - Court 9,New York
331,Flushing Meadows - Grandstand,New York
332,Flushing Meadows - Court 8,New York
333,Circolo Tennis Bari - Lapietra Center Court,Bari
334,Circolo Tennis Bari - Ferrovie del Sud Est Court,Bari
335,Circolo Tennis Bari - Court 2,Bari
336,Tennis Arena Portorož - Centre Court,Portorož
337,Tennis Arena Portorož - Court 1,Portorož
